Week,US Search Score,NY Search Score,CA Search Score,
4/20/14,11,24,0,
4/27/14,16,70,23,
5/4/14,17,24,0,
5/11/14,11,24,22,
5/18/14,0,0,0,
5/25/14,7,30,0,
6/1/14,0,0,25,
6/8/14,20,0,52,
6/15/14,7,29,0,
6/22/14,20,29,52,
6/29/14,7,0,0,
7/6/14,0,0,26,
7/13/14,13,0,39,
7/20/14,0,0,0,
7/27/14,7,0,26,
8/3/14,21,32,0,
8/10/14,13,0,0,
8/17/14,13,29,0,
8/24/14,6,30,27,
8/31/14,6,0,27,
9/7/14,6,28,26,
9/14/14,43,28,26,
9/21/14,31,28,27,
9/28/14,6,56,26,
10/5/14,12,27,26,
10/12/14,6,28,52,
10/19/14,30,0,0,
10/26/14,24,0,25,
11/2/14,24,26,25,
11/9/14,12,25,25,
11/16/14,18,25,0,
11/23/14,0,26,27,
11/30/14,11,0,0,
12/7/14,6,24,24,
12/14/14,6,0,26,
12/21/14,0,0,0,
12/28/14,7,28,0,
1/4/15,18,0,26,
1/11/15,6,0,25,
1/18/15,0,25,0,
1/25/15,23,0,24,
2/1/15,23,24,38,
2/8/15,11,0,25,
2/15/15,17,25,50,
2/22/15,6,0,0,
3/1/15,17,48,48,
3/8/15,12,0,0,
3/15/15,18,25,25,
3/22/15,7,28,0,
3/29/15,12,0,0,
4/5/15,12,26,0,
4/12/15,12,39,0,
4/19/15,42,25,38,
4/26/15,24,64,50,
5/3/15,6,39,25,
5/10/15,6,0,0,
5/17/15,32,27,0,
5/24/15,0,27,0,
5/31/15,6,26,26,
6/7/15,0,0,26,
6/14/15,6,27,26,
6/21/15,13,26,26,
6/28/15,0,53,0,
7/5/15,6,0,26,
7/12/15,13,0,0,
7/19/15,20,0,25,
7/26/15,19,39,25,
8/2/15,6,39,0,
8/9/15,13,0,26,
8/16/15,25,39,25,
8/23/15,19,38,25,
8/30/15,43,37,38,
9/6/15,0,75,25,
9/13/15,12,0,37,
9/20/15,18,48,24,
9/27/15,29,47,48,
10/4/15,12,0,0,
10/11/15,41,24,24,
10/18/15,0,36,24,
10/25/15,0,24,0,
11/1/15,23,0,25,
11/8/15,35,49,49,
11/15/15,11,73,24,
11/22/15,0,0,0,
11/29/15,28,23,24,
12/6/15,28,0,0,
12/13/15,18,0,0,
12/20/15,14,0,0,
12/27/15,0,0,27,
1/3/16,20,0,28,
1/10/16,14,0,0,
1/17/16,14,22,19,
1/24/16,10,22,19,
1/31/16,24,43,37,
2/7/16,9,0,19,
2/14/16,9,22,0,
2/21/16,23,53,0,
2/28/16,23,32,36,
3/6/16,19,22,18,
3/13/16,5,44,28,
3/20/16,19,22,0,
3/27/16,24,33,19,
4/3/16,14,0,0,
4/10/16,10,43,0,
4/17/16,14,88,18,
4/24/16,42,45,18,
5/1/16,28,73,37,
5/8/16,19,54,19,
5/15/16,19,32,19,
5/22/16,30,23,19,
5/29/16,25,24,29,
6/5/16,10,34,0,
6/12/16,30,45,0,
6/19/16,20,47,19,
6/26/16,15,0,20,
7/3/16,5,24,63,
7/10/16,0,0,20,
7/17/16,10,25,20,
7/24/16,5,50,20,
7/31/16,16,25,21,
8/7/16,5,25,0,
8/14/16,16,53,0,
8/21/16,21,0,20,
8/28/16,5,46,38,
9/4/16,24,23,19,
9/11/16,5,22,57,
9/18/16,19,22,57,
9/25/16,14,55,38,
10/2/16,24,22,0,
10/9/16,10,45,28,
10/16/16,24,33,28,
10/23/16,19,33,55,
10/30/16,33,33,37,
11/6/16,18,41,17,
11/13/16,28,0,55,
11/20/16,19,0,19,
11/27/16,35,20,26,
12/4/16,38,39,25,
12/11/16,13,30,53,
12/18/16,10,43,0,
12/25/16,15,0,30,
1/1/17,9,21,19,
1/8/17,13,41,17,
1/15/17,17,20,52,
1/22/17,17,41,26,
1/29/17,38,40,25,
2/5/17,30,40,33,
2/12/17,21,0,41,
2/19/17,17,63,34,
2/26/17,29,48,49,
3/5/17,21,19,17,
3/12/17,34,49,33,
3/19/17,26,78,17,
3/26/17,26,39,35,
4/2/17,39,78,26,
4/9/17,40,74,26,
4/16/17,22,41,35,
4/23/17,38,40,17,
4/30/17,26,29,17,
5/7/17,76,49,17,
5/14/17,33,22,0,
5/21/17,47,44,55,
5/28/17,19,22,19,
6/4/17,14,21,28,
6/11/17,5,32,0,
6/18/17,32,21,36,
6/25/17,49,34,19,
7/2/17,25,46,40,
7/9/17,28,43,28,
7/16/17,19,23,38,
7/23/17,19,22,19,
7/30/17,23,44,18,
8/6/17,14,22,27,
8/13/17,18,23,27,
8/20/17,18,45,0,
8/27/17,18,22,17,
9/3/17,26,42,26,
9/10/17,30,41,34,
9/17/17,31,31,18,
9/24/17,31,21,27,
10/1/17,30,42,17,
10/8/17,30,41,16,
10/15/17,30,31,17,
10/22/17,39,52,34,
10/29/17,30,31,34,
11/5/17,30,92,42,
11/12/17,30,52,34,
11/19/17,23,45,18,
11/26/17,17,21,0,
12/3/17,33,52,25,
12/10/17,34,51,17,
12/17/17,9,22,19,
12/24/17,15,25,20,
12/31/17,0,0,0,
1/7/18,25,43,17,
1/14/18,34,43,26,
1/21/18,21,21,17,
1/28/18,25,73,68,
2/4/18,37,40,33,
2/11/18,33,64,17,
2/18/18,46,54,26,
2/25/18,33,41,41,
3/4/18,29,29,25,
3/11/18,37,42,48,
3/18/18,34,53,25,
3/25/18,22,43,35,
4/1/18,9,21,17,
4/8/18,38,53,84,
4/15/18,34,21,34,
4/22/18,54,31,33,
4/29/18,34,31,50,
5/6/18,25,62,33,
5/13/18,47,53,42,
5/20/18,27,33,25,
5/27/18,27,74,0,
6/3/18,26,43,42,
6/10/18,26,42,34,
6/17/18,27,22,35,
6/24/18,45,22,35,
7/1/18,14,45,36,
7/8/18,18,44,17,
7/15/18,22,23,0,
7/22/18,36,66,44,
7/29/18,35,44,35,
8/5/18,26,44,0,
8/12/18,35,33,44,
8/19/18,44,35,35,
8/26/18,69,56,69,
9/2/18,26,33,26,
9/9/18,33,62,33,
9/16/18,42,42,34,
9/23/18,47,63,67,
9/30/18,78,63,42,
10/7/18,35,32,43,
10/14/18,40,87,43,
10/21/18,34,54,42,
10/28/18,30,86,34,
11/4/18,57,20,48,
11/11/18,73,52,43,
11/18/18,50,68,36,
11/25/18,58,71,41,
12/2/18,55,60,68,
12/9/18,38,59,34,
12/16/18,69,30,17,
12/23/18,25,0,80,
12/30/18,27,33,37,
1/6/19,42,21,41,
1/13/19,38,19,25,
1/20/19,50,19,67,
1/27/19,66,38,58,
2/3/19,60,52,65,
2/10/19,65,19,49,
2/17/19,53,21,59,
2/24/19,100,88,57,
3/3/19,54,37,90,
3/10/19,75,54,100,
3/17/19,43,85,77,
3/24/19,80,58,70,
3/31/19,67,100,43,
4/7/19,63,58,35,
4/14/19,73,92,38,